CID,kmeans_cluster,hierarchical_cluster
9321,9,7
18636,4,2
38200,4,2
37270,4,2
51130,4,2
42540,4,2
42140,4,2
29575,4,2
51720,4,2
38439,4,2
42138,4,2
7950,4,2
10943,4,2
38016,4,2
37036,4,2
38875,4,2
38032,4,2
37034,4,2
37807,4,2
37248,4,2
37803,4,2
36188,4,2
43495,4,2
42128,4,2
15625,4,2
39929,4,2
27960,4,2
23448,4,2
6914,4,2
1486,4,2
36231,4,2
7070,4,2
7543,4,2
8630,4,2
10522,28,2
15910,4,2
2730,4,2
14410,4,2
16318,4,2
4685,4,2
8370,4,2
4115,4,2
8607,4,2
7239,4,2
6720,4,2
992,4,2
12463,4,2
36401,4,2
7245,4,2
2087,4,2
7964,4,2
53639106,4,2
10155,15,4
11288,15,4
10708,15,4
20310,15,4
11138,15,4
15204,15,4
7052,15,4
76027,15,4
15109,15,4
8357,15,4
7121,15,4
14332,15,4
7187,15,4
28813,22,4
3026,22,4
6781,22,4
8554,15,4
8441,15,4
8559,22,4
8496,15,4
723,26,1
19844,15,4
1017,15,4
6811,15,4
1018,1,4
338,15,4
10742,15,4
7489,15,4
8468,15,4
2347,22,4
6919,15,4
938,1,4
17198,15,4
237332,15,4
7586,22,11
7820,18,12
7361,15,4
10787,15,4
68245,15,4
359,15,4
1057,15,4
8655,15,4
99091,22,4
248269,22,4
7814,1,4
39184,28,4
39185,28,4
1474,1,4
35842,17,9
18302,3,12
12586,3,12
99937,3,12
162406,3,12
94210,18,12
8117,3,12
670,3,12
93390,2,18
174,3,12
8190,3,12
604,3,12
33022,2,18
753,3,12
757,26,12
81464,2,18
612,3,12
79029,3,12
867,26,1
8164,2,18
7924,3,12
8200,3,12
76262,2,18
6506,18,12
8178,3,12
8172,3,12
24730,7,7
91948,18,12
11263471,16,17
10419,16,17
53230,28,4
6947,17,9
10351,15,4
8029,1,4
7362,15,4
17520,1,4
31222,1,4
70255,1,4
8447,1,6
11443,1,4
39800,7,7
74208,1,4
6053,1,4
136882,1,4
33344,7,7
7222,1,4
26331,1,4
6838,1,4
7416,17,9
135738785,1,4
936,1,4
1049,1,4
9222,1,4
3714831,1,6
5455,21,6
34192,7,6
30692,21,6
6335,16,17
1068,21,6
679,21,6
878,21,6
7280,11,2
31296,11,2
7839,11,2
6323,11,2
3024,11,2
5558,11,2
11641,11,2
14456,18,15
76004,18,15
31275,3,12
24773,2,5
5541,18,12
12307,20,9
154901,17,9
3017,22,13
38479,17,9
4928,1,4
7834,3,11
6377,25,11
9033,25,11
6351,25,11
7835,25,11
6354,25,11
6378,25,11
12046,26,14
196,18,14
15575,20,9
8430,2,7
8203,2,18
11818,17,9
11803,17,9
11764,17,9
1493,17,9
8461,17,9
12284,26,14
10800,17,9
980,17,9
743,26,14
7855,27,8
9997,16,17
6326,16,17
3931,2,18
21502,17,9
15752,17,9
12489838,17,9
29393,17,9
991,15,10
5569,17,9
14264,21,6
6163,21,6
12232,21,6
6213,21,6
6497,21,6
4618,21,6
31347,21,6
1117,21,6
1119,21,6
24682,21,6
8343,2,5
8346,2,5
87244,18,15
16653,7,7
90864,2,13
176,26,1
17595,7,7
13387,7,7
70717,7,7
12025,7,7
23666346,7,7
408,7,7
7497,7,7
6049,7,7
3608,7,7
75192,7,7
7618,7,7
8471,7,7
7918,26,1
4004,18,10
10349,26,14
1060,26,1
1110,26,14
12259,20,9
11724,20,9
6587,20,9
6375,20,9
943,20,9
946,20,9
3032552,20,9
6342,27,8
10913,24,15
3082,21,6
10914,24,15
77929,18,15
11169,24,15
136332,26,1
7923,26,8
8711,26,8
284,26,1
760,26,1
38078,8,1
6347,27,7
971,26,1
280,24,1
19660,8,1
10340,8,1
11430,8,1
768,27,8
4685067,27,8
16698,8,1
3681305,8,1
1061,8,1
8606,7,3
10039,21,6
6348,21,6
3039,4,10
24261,24,15
712,8,1
887,8,1
9989226,8,1
281,8,1
24823,8,1
145068,20,9
25477,8,1
14781,8,1
14792,24,1
14778,24,1
26042,24,1
