CID,kmeans_cluster,hierarchical_cluster
18827,6,2
8125,13,1
520802,8,13
8126,13,1
41971,13,1
11621,22,1
1531,27,4
39800,2,5
6497,24,3
11387,5,0
8417,18,7
7647,5,0
606469,18,11
248269,19,11
7486,0,23
524159,0,23
10864,0,23
136882,2,5
24977797,8,13
10757,3,15
81530,13,13
8711,13,13
7570,10,0
17095,22,1
13190,22,1
19801,6,12
112221,22,1
8175,22,12
8183,22,1
31253,14,2
31289,6,12
26630,6,12
454,6,12
6838,5,0
3026,19,11
54710497,18,7
92839,18,7
3314,18,7
62341,18,7
9984,18,7
7469,18,7
853433,18,7
226486,18,7
31236,18,7
79735,18,7
15782,18,7
20129,18,7
17739,18,7
119216,18,7
5281426,18,7
74208,12,5
7505,3,13
12395,1,11
29075,1,11
11622,1,11
8163,22,12
62447,6,12
520743,1,11
8194,22,1
20967,22,12
14109,22,23
16607,22,1
17697,1,11
149211,1,11
31291,1,11
12389,22,1
62072,1,11
33650,22,1
25311,1,11
32934,22,1
8186,22,12
10446,1,11
530173,1,11
74138,1,11
8193,22,12
18936,1,11
85014,1,11
3015374,1,11
528971,1,11
29303,1,11
15076,1,11
80281,1,11
87821,1,11
528972,1,11
82436,1,11
87639,1,11
181154,1,11
5282601,1,11
47689,19,11
18625,19,11
10115,19,11
19774,1,1
137081,1,11
172146,1,11
21414,1,11
53687588,1,11
61303,1,11
176293,1,11
75364,1,11
24773,1,11
5282604,1,11
21771602,19,11
12303119,19,11
41359,19,11
43250,19,11
94322,1,11
97746,1,11
97747,1,11
7785,1,11
860,1,11
3931,1,11
965,1,11
521731,1,11
86052,1,11
22833341,1,11
6537497,1,11
3240,1,11
5997,19,11
15713,1,11
586537,1,11
8343,19,11
8346,1,11
12399,1,11
3017068,1,11
244872,1,11
8215,1,11
3032811,1,11
15714,1,11
11008,1,11
75458,1,11
8222,1,11
75502,1,11
10467,1,11
142770,1,11
20511,1,11
6857535,1,11
247705,19,11
22199,1,11
13297142,1,11
141135,1,11
33022,1,11
14900,1,11
22434,1,11
16898,1,11
12052911,1,11
151269,1,11
23524,1,11
18027,1,11
71552,1,11
12398,1,11
10465,1,11
29777,1,11
23598,1,11
81464,1,11
3084462,1,11
9543670,1,11
10469,1,11
54280271,1,11
984,1,11
11006,1,11
10459,1,11
22207,1,11
152802,1,11
23250,1,11
12412,1,11
73796,1,11
526118,1,11
519147,1,11
182192,1,11
74399,1,11
520159,1,11
8203,1,11
8202,1,11
13584,1,11
8139,1,11
13908485,1,11
14259,1,11
3035468,1,11
53705,1,11
41517,1,11
15609,1,11
22048,1,11
31284,1,11
20017,1,11
15610,1,11
41518,1,11
8201,1,11
8181,1,11
41431,1,11
75546,1,11
85778983,1,11
13908486,1,11
12400,1,11
75519,1,11
24699,1,11
11005,1,11
68344,1,11
12405,1,11
19255,1,11
12404,1,11
12403,1,11
12410,1,11
37982,1,11
11636,1,11
12407,1,11
5282596,1,11
12409,1,11
12408,1,11
8221,1,11
12406,1,11
22328,1,11
12413,1,11
12592,1,11
26519,1,11
94485,1,11
12535,1,11
12534,1,11
12388,22,1
12411,1,11
181572,1,11
20245,1,11
12401,1,11
12572015,1,11
12591,1,11
53925385,1,11
89671,1,11
114842,1,11
19775,1,11
3084376,1,11
10470,1,11
11635,1,11
70095,1,11
20514,1,11
23599,1,11
8927,1,11
985,1,11
4668,1,11
181174,1,11
13828362,1,11
10468,1,11
12391,1,11
13849,1,11
12523,1,11
15979,1,11
579897,19,11
86821,1,11
3084097,1,11
1105,1,11
5281,1,11
12444466,19,11
12943206,19,11
53703939,1,11
122544,19,11
20149,1,11
557529,1,11
2724554,1,11
11197,1,11
152909,1,11
162384,1,11
