CID,kmeans_cluster,hierarchical_cluster
13849,5,7
965,5,7
8777,5,7
10569,5,7
12679,5,7
3931,5,7
3032811,5,7
151269,5,7
54280271,5,7
37982,5,7
17085,5,7
12989,11,11
11509,11,11
103002,11,11
12763,11,11
17049,18,3
13159,11,11
25402,17,11
13024,17,1
23151,11,1
14896,11,11
6616,11,11
995,11,1
18851,11,11
68126,17,11
64813,16,5
31214,11,11
19966,17,1
18849,17,11
138074,11,11
7914,17,11
2758,17,1
17148,11,11
23866,11,11
32737,11,11
520802,17,11
26049,11,1
8160,16,5
13190,16,5
85925,16,5
138257,16,5
14257,16,5
176691,16,5
27518,16,5
20283,16,5
13076,16,5
524159,16,5
16319,16,5
85926,16,5
28458,16,5
14109,16,5
19589,11,2
7668,3,2
10997535,8,8
31289,3,2
7351,3,2
12871038,17,1
20263,4,9
222,4,1
136332,0,15
24261,0,15
38078,10,1
999,10,1
12292,10,1
1493,10,1
23666346,10,1
1738,10,1
1061,10,1
1117,10,1
17835,16,5
13152,18,3
11602,18,0
182132,3,2
7284,1,0
12161,3,0
8172,8,8
139568,8,8
6431,0,15
6393,0,15
6389,0,15
136508,0,15
5943,0,15
6430,0,15
6392,0,15
7055,0,15
6429,0,15
9989226,0,6
14792,0,15
24823,0,15
24682,0,15
14778,0,15
104556,14,10
9144,9,2
33743,9,2
9170,6,16
16932,3,16
91195,13,0
7824,13,0
70155,9,18
93496,9,18
3893,5,7
68344,5,7
8158,5,7
379,5,7
8180,5,7
62838,5,7
12591,5,7
10465,5,7
22207,5,7
152802,5,7
985,5,7
12530,5,7
172146,5,7
11005,5,7
5634,5,7
10018535,5,7
10469,5,7
19255,5,7
5282596,5,7
10470,5,7
10471,5,7
860,5,7
13068,3,14
13438,3,14
12968,6,4
7770,13,0
8093,13,0
94282,5,7
2969,5,7
5282601,5,7
9543670,5,7
94485,5,7
53925385,5,7
10468,5,7
5281,5,7
11197,5,7
4668,5,7
16898,5,7
8003,11,11
35364,11,11
17149,11,11
11564,11,11
7044,11,11
35363,11,11
35365,11,11
39145,11,11
10044,11,11
6403,0,15
643587,11,11
23415,16,5
92239,16,5
530112,16,5
93071,16,5
7962,17,15
136101,0,15
11549,0,15
15421,11,15
6589,11,11
11210,18,3
6556,0,15
11416,11,11
20245,5,7
17151,9,18
7114,15,18
11769,15,18
529886,16,5
107,5,7
524749,16,5
28456,16,5
28457,16,5
20143700,16,5
27941,19,12
22468,11,11
2337,8,8
53687588,5,7
152909,5,7
3714831,10,1
53639106,10,1
10296,10,1
6914,10,1
9147,9,2
7950,7,2
12969,11,11
537768,16,5
522213,16,5
6391,0,15
281,0,15
946,17,1
3032552,0,15
24841,0,15
8252,13,17
9203,12,13
7710,13,0
6428,0,15
887,0,15
6423,0,15
31373,0,15
402,0,15
24193,0,15
6829,9,2
129695190,15,18
54183197,5,7
17262,14,10
70382,15,18
6697,15,18
544588,1,17
6416,4,9
13588,1,17
2723650,1,17
6333,7,13
7840,7,13
67884,9,6
79985,16,5
519365,16,5
85151,16,5
13415,16,5
7794,16,5
15600,16,5
22202,16,5
28455,16,5
23531,16,5
20329911,16,5
140599,16,5
11597,11,11
187321,16,5
12741,19,12
71318052,16,5
28206,15,18
158032,15,18
97240,15,18
11818,15,18
11764,15,18
13090,15,18
19168,15,18
11831,15,18
138270,16,5
8417,15,18
14104,16,5
7635,16,5
7704,13,0
13192,3,14
1119,13,6
31225,3,14
18784,3,14
9195,3,14
18932,3,14
11795,3,14
11934,3,14
11767,15,18
13432,3,14
9201,3,14
146998,16,16
34454,13,0
92373,13,0
14781,13,0
4284,5,7
31423,7,6
3023,7,6
712,0,15
14917,0,15
145068,0,15
962,0,15
7111,13,0
7543,12,13
3681305,14,8
38307,7,13
86240,12,13
1486,10,1
25477,13,0
54710497,18,3
